Date;Hour;Forecasted Day-ahead Total Load;Actual Total Load
20141231;1;-;16179,900
20141231;2;-;15382,100
20141231;3;-;14957,100
20141231;4;-;14844,175
20141231;5;-;14998,825
20141231;6;-;15436,300
20141231;7;-;16667,150
20141231;8;-;17624,725
20141231;9;-;18587,400
20141231;10;-;19458,850
20141231;11;-;19821,850
20141231;12;-;19863,175
20141231;13;-;19673,975
20141231;14;-;19756,325
20141231;15;-;19278,900
20141231;16;-;19495,525
20141231;17;-;20862,025
20141231;18;-;20818,925
20141231;19;-;20272,925
20141231;20;-;19314,375
20141231;21;-;17937,325
20141231;22;-;17202,500
20141231;23;-;16561,800
20141231;24;-;16012,925
